Date;SP500;Dividend;Earnings;Consumer Price Index;Long Interest Rate;Real Price;Real Dividend;Real Earnings;PE10
1871-01-01;4,44;0,26;0,40;12,46;5,32;96,47;5,65;8,69;NA
1871-02-01;4,50;0,26;0,40;12,84;5,32;94,87;5,48;8,43;NA
1871-03-01;4,61;0,26;0,40;13,03;5,33;95,77;5,40;8,31;NA
1871-04-01;4,74;0,26;0,40;12,56;5,33;102,20;5,61;8,62;NA
1871-05-01;4,86;0,26;0,40;12,27;5,33;107,23;5,74;8,83;NA
1871-06-01;4,82;0,26;0,40;12,08;5,34;108,02;5,83;8,96;NA
1871-07-01;4,73;0,26;0,40;12,08;5,34;106,00;5,83;8,96;NA
1871-08-01;4,79;0,26;0,40;11,89;5,34;109,07;5,92;9,11;NA
1871-09-01;4,84;0,26;0,40;12,18;5,35;107,62;5,78;8,89;NA
1871-10-01;4,59;0,26;0,40;12,37;5,35;100,49;5,69;8,76;NA
1871-11-01;4,64;0,26;0,40;12,37;5,35;101,59;5,69;8,76;NA
1871-12-01;4,74;0,26;0,40;12,65;5,36;101,43;5,56;8,56;NA
1872-01-01;4,86;0,26;0,40;12,65;5,36;104,00;5,63;8,61;NA
1872-02-01;4,88;0,27;0,41;12,65;5,38;104,43;5,71;8,67;NA
1872-03-01;5,04;0,27;0,41;12,84;5,40;106,26;5,69;8,59;NA
1872-04-01;5,18;0,27;0,41;13,13;5,42;106,83;5,64;8,46;NA
1872-05-01;5,18;0,28;0,41;13,13;5,43;106,83;5,71;8,51;NA
1872-06-01;5,13;0,28;0,42;13,03;5,45;106,58;5,82;8,62;NA
1872-07-01;5,10;0,28;0,42;12,84;5,47;107,52;5,97;8,80;NA
1872-08-01;5,04;0,29;0,42;12,94;5,49;105,48;6,00;8,79;NA
1872-09-01;4,95;0,29;0,42;13,03;5,51;102,84;6,02;8,78;NA
1872-10-01;4,97;0,29;0,43;12,75;5,53;105,56;6,23;9,03;NA
1872-11-01;4,95;0,30;0,43;13,13;5,54;102,09;6,12;8,82;NA
1872-12-01;5,07;0,30;0,43;12,94;5,56;106,10;6,28;9,00;NA
1873-01-01;5,11;0,30;0,43;12,94;5,58;106,94;6,33;9,05;NA
1873-02-01;5,15;0,31;0,44;13,23;5,57;105,45;6,25;8,91;NA
1873-03-01;5,11;0,31;0,44;13,23;5,56;104,63;6,30;8,96;NA
1873-04-01;5,04;0,31;0,44;13,23;5,55;103,20;6,35;9,01;NA
1873-05-01;5,05;0,31;0,44;12,94;5,54;105,69;6,54;9,26;NA
1873-06-01;4,98;0,32;0,45;12,56;5,53;107,38;6,79;9,60;NA
1873-07-01;4,97;0,32;0,45;12,56;5,53;107,16;6,85;9,65;NA
1873-08-01;4,97;0,32;0,45;12,56;5,52;107,16;6,90;9,70;NA
1873-09-01;4,59;0,32;0,45;12,56;5,51;98,97;6,95;9,76;NA
1873-10-01;4,19;0,33;0,46;12,27;5,50;92,45;7,17;10,04;NA
