DATE,CSUSHPINSA
1987-01-01,63.736999999999995
1987-02-01,64.137
1987-03-01,64.472
1987-04-01,64.977
1987-05-01,65.55199999999999
1987-06-01,66.222
1987-07-01,66.78699999999999
1987-08-01,67.26899999999999
1987-09-01,67.624
1987-10-01,67.904
1987-11-01,68.094
1987-12-01,68.345
1988-01-01,68.583
1988-02-01,68.916
1988-03-01,69.324
1988-04-01,69.788
1988-05-01,70.407
1988-06-01,71.066
1988-07-01,71.684
1988-08-01,72.184
1988-09-01,72.57300000000001
1988-10-01,72.822
1988-11-01,73.065
1988-12-01,73.278
1989-01-01,73.616
1989-02-01,73.967
1989-03-01,74.41
1989-04-01,74.87
1989-05-01,75.29899999999999
1989-06-01,75.69800000000001
1989-07-01,76.042
1989-08-01,76.27199999999999
1989-09-01,76.422
1989-10-01,76.49
1989-11-01,76.523
1989-12-01,76.499
1990-01-01,76.527
1990-02-01,76.587
1990-03-01,76.79
1990-04-01,77.039
1990-05-01,77.297
1990-06-01,77.50399999999999
1990-07-01,77.559
1990-08-01,77.477
1990-09-01,77.227
1990-10-01,76.911
1990-11-01,76.38
1990-12-01,75.971
1991-01-01,75.532
1991-02-01,75.249
1991-03-01,75.14
1991-04-01,75.319
1991-05-01,75.77
1991-06-01,76.255
1991-07-01,76.517
1991-08-01,76.594
1991-09-01,76.577
1991-10-01,76.286
1991-11-01,76.032
1991-12-01,75.846
1992-01-01,75.703
1992-02-01,75.658
1992-03-01,75.817
1992-04-01,76.083
1992-05-01,76.402
1992-06-01,76.60600000000001
1992-07-01,76.715
1992-08-01,76.735
1992-09-01,76.631
1992-10-01,76.6
1992-11-01,76.581
1992-12-01,76.467
1993-01-01,76.399
1993-02-01,76.333
1993-03-01,76.388
1993-04-01,76.665
1993-05-01,77.03399999999999
1993-06-01,77.52
1993-07-01,77.888
1993-08-01,78.134
1993-09-01,78.20100000000001
1993-10-01,78.176
1993-11-01,78.17399999999999
1993-12-01,78.117
1994-01-01,78.203
1994-02-01,78.209
1994-03-01,78.35300000000001
1994-04-01,78.706
1994-05-01,79.21300000000001
1994-06-01,79.705
1994-07-01,80.067
1994-08-01,80.32
1994-09-01,80.343
1994-10-01,80.307
1994-11-01,80.172
1994-12-01,80.081
1995-01-01,80.03
1995-02-01,79.995
1995-03-01,80.082
1995-04-01,80.374
1995-05-01,80.697
1995-06-01,81.074
1995-07-01,81.417
1995-08-01,81.66
1995-09-01,81.744
1995-10-01,81.732
1995-11-01,81.63600000000001
1995-12-01,81.51899999999999
1996-01-01,81.432
1996-02-01,81.404
1996-03-01,81.67
1996-04-01,82.13
1996-05-01,82.60799999999999
1996-06-01,83.054
1996-07-01,83.42399999999999
1996-08-01,83.65
1996-09-01,83.70700000000001
1996-10-01,83.634
1996-11-01,83.56200000000001
1996-12-01,83.49600000000001
1997-01-01,83.535
1997-02-01,83.601
1997-03-01,83.916
1997-04-01,84.32600000000001
1997-05-01,84.869
1997-06-01,85.40299999999999
1997-07-01,85.846
1997-08-01,86.155
1997-09-01,86.315
1997-10-01,86.413
1997-11-01,86.637
1997-12-01,86.853
1998-01-01,87.16799999999999
1998-02-01,87.37799999999999
1998-03-01,87.882
1998-04-01,88.56299999999999
1998-05-01,89.37899999999999
1998-06-01,90.199
1998-07-01,90.863
1998-08-01,91.411
1998-09-01,91.757
1998-10-01,92.005
1998-11-01,92.20299999999999
1998-12-01,92.449
1999-01-01,92.719
1999-02-01,92.985
1999-03-01,93.615
1999-04-01,94.441
1999-05-01,95.366
1999-06-01,96.369
1999-07-01,97.198
1999-08-01,97.90299999999999
1999-09-01,98.406
1999-10-01,98.839
1999-11-01,99.15700000000001
1999-12-01,99.551
2000-01-01,100.00
2000-02-01,100.571
2000-03-01,101.46600000000001
2000-04-01,102.54
2000-05-01,103.70100000000001
2000-06-01,104.855
2000-07-01,105.721
2000-08-01,106.521
2000-09-01,107.134
2000-10-01,107.727
2000-11-01,108.289
2000-12-01,108.79
2001-01-01,109.213
2001-02-01,109.64200000000001
2001-03-01,110.39299999999999
2001-04-01,111.24600000000001
2001-05-01,112.20100000000001
2001-06-01,113.271
2001-07-01,114.226
2001-08-01,114.98700000000001
2001-09-01,115.463
2001-10-01,115.679
2001-11-01,115.836
2001-12-01,116.053
